mode          bandwidth  normalize  offdiag_mean  test_acc
ZZ            1.0        None       0.01666       0.4000
ZZ            0.5        None       0.01806       0.5500
ZZ            0.25       None       0.02388       0.7000
ZZ            0.1        None       0.05568       0.6500
ZZ            0.05       None       0.16882       0.7000
ZZ            0.02       None       0.61679       0.7500
mahalanobis   1.0        maxabs     0.02565       0.3500
mahalanobis   0.5        maxabs     0.04606       0.4000
mahalanobis   0.25       maxabs     0.11280       0.5500
mahalanobis   0.1        maxabs     0.47291       0.7000
mahalanobis   0.05       maxabs     0.77087       0.8000
mahalanobis   0.02       maxabs     0.95139       0.7000
